label,text
positif,"hello teman semua ayo kita sambut hari baru telah tiba apa yang ku rasakan ku ingin engkau tahu dan berbagi bersama buka kita buka hari yang baru sebagai semangat langkah ke depan jadi pribadi baru"""
"""positif","Mentari terbenam temani dalam kesendirianku Temani aku dalam kepedihan ini Ku bertahan Mentari terbenam beri semangat baru tuk jiwaku Beri kicauan merdu tuk hidupku ini Ku bertahan"""""""
positif,"Di kala kau putus asa Dan telah lelah mencoba Angkatlah bahumu kawan Gagal itu hal biasa Bukan akhir segalanya Itulah awal cerita indah Jangan pernah lelah berlari Mengejar asa yang kau cari Keep"""
positif,"Setidaknya punya tujuh puluh tahun Tak bisa melompat kumahir berenang Bahagia melihat kawanan betina Berkumpul bersama sampai ajal Besar dan berani berperang sendiri Yang aku hindari hanya semut kecil Otak ini cerdas kurakit perangkat"""
positif,"bila mimpi adalah tantangan maka hadapilah sekuat tenagamu bila mimpi adalah lagu maka nyanyikanlah dengan bersama-sama mimpi kita masih panjang tetap terus berjuang semangatlah dan wujudkan"""
positif,"Tak ada manusia Yang terlahir sempurna Jangan kau sesali Segala yang telah terjadi Kita pasti pernah Dapatkan cobaan yang berat Seakan hidup ini Tak ada artinya lagi Syukuri apa yang ada Hidup"""
positif,"Apa yang kau takutkan Dengan semua ini Bukankah kesedihan Sering kita alami Keadaan ini Buat kita terbiasa Dengarkan ku bicara Teruslah bermimpi Walau kenyataannya jauh berbeda Teruslah bermimpi"""
positif,"mimpi adalah kunci untuk kita menaklukkan dunia berlarilah tanpa lelah sampai engkau meraihnya laskar pelangi takkan terikat waktu bebaskan mimpimu di angkasa warnai bintang di jiwa menarilah"""
positif,"Hanya bilik bambu tempat tinggal kita Tanpa hiasan, tanpa lukisan Beratap jerami, beralaskan tanah Namun semua ini punya kita Memang semua ini milik kita, sendiri Hanya alang alang pagar rumah kita"""
positif,"Di sini ada Satu kisah Cerita tentang Anak manusia Menantang hidup Bersama Mencoba menggali Makna cinta Tetes air mata Mengalir di sela Derai tawa Selamanya kita Tak akan berhenti Mengejar matahari"""
positif,"Ketika mimpimu Yang begitu indah Tak pernah terwujud Ya sudahlah Saat kau berlari Mengejar anganmu Dan tak pernah sampai Ya sudahlah Hm-hm-hm ... Apa pun yang terjadi 'Ku 'kan selalu ada untukmu"""
positif,"Dulu kita sahabat, teman begitu hangat Mengalahkan sinar mentari Dulu kita sahabat, berteman bagai ulat Berharap jadi kupu-kupu Kini kita melangkah berjauh-jauhan Kau jauhi diriku karna sesuatu Mungkin ku terlalu bertindak kejauhan"""
positif,"Sahabat sejatiku Hilangkah dari ingatanmu Di hari kita saling berbagi Dengan kotak sejuta mimpi Aku datang menghampirimu Kuperlihat semua hartaku  Kita s'lalu berpendapat Kita ini yang terhebat"""
positif,"biarkan saja kekasihmu pergi teruskan saja mimpi yang kau tunda kita temukan tempat yang layak sahabatku kupercaya kan langkah bersamamu tak kuragukan berbagi dengan mu kita temukan tempat yang layak sahabatku"""
negatif,"Bersabarlah, sayang Aku akan pulang Jangan dengarkan Gosip murahan Tentang aku Berjanjilah, sayang Tuk selalu setia Meski 'ku tak selalu Di sampingmu Tak usah menangis meratapi aku Tak perlu kau berpikir 'ku meninggalkanmu Mana mungkin selimut tetangga"""
negatif,"Aku tak mengerti apa yang kurasa Rindu yang tak pernah begitu hebatnya Aku mencintaimu lebih dari yang kau tahu Meski kau takkan pernah tahu Aku persembahkan hidupku untukmu Telah kurelakan hatiku padamu Namun kau masih bisu diam seribu bahasa"""
negatif,"telah lama kau tinggalkan ku sempat sia sia kan aku pergi jauh titipkan perih tak sedikitpun peduli seandainya kamu merasakan jadi aku sebentar saja tak kan sanggup hatimu terima sakit ini begitu parah pergi jauh titipkan perih tak sedikitpun peduli"""
negatif,"Namaku cinta, ketika kita bersamaBerbagi rasa untuk selamanya Namaku cinta, ketika kita bersama Berbagi rasa sepanjang usia Hingga tiba saatnya Aku pun melihat Cintaku yang khianat Cintaku berkhianat"""
negatif,"Dirimu tak pernah menyadari Semua yang telah kau miliki Kau buang aku, tinggalkan diriku Kau hancurkan aku seakan ku tak pernah ada Aku kan bertahan Meski takkan mungkin Menerjang kisahnya Walau perih, walau perih Salahkah aku terlalu cinta"""
negatif,"Ku harus menemui cintaku Mencari tahu hubungan kita Apa masih atau tlah berakhir Kau menggantungkan hubungan ini Kau diamkan aku tanpa sebab Maunya apa ku harus bagaimana Kasih? Sampai kapan kau gantung Cerita cintaku memberi harapan Hingga mungkin ku tak sanggup lagi"""
negatif,"Mungkin cintaku Terlalu kuat dan menutupi Jiwa yang dendam akan kerasmu Sehingga kita bersama Mungkin Mungkin Kumau memaafkanmu kembali Demi cinta"" yang ada di hatiku Meloloskanmu Dari kata """
negatif,"Kasihku Sampai disini kisah kita Jangan tangisi keadaannya Bukan karena kita berbeda Dengarkan Dengarkan lagu.....lagu ini Melodi rintihan hati ini Kisah kita berakhir di Januari"""
negatif,"Baby, take my hand I want you to be my husband Cause you're my Iron Man And I love you three thousand Baby, Straight out of a Hollywood movie"""
negatif,"haruskah ku jadi orang berbeda hanya untuk membuat dirimu bahagia jangan lakukan, hatiku bisa tertekan aku juga mau kita bahagia tanpa harus menjadi orang yang berbeda """
negatif,"Terima kasih cinta untuk segalanya Kau berikan lagi kesempatan itu Tak akan terulang lagi Semua... kesalahanku Yang pernah menyakitimu Tanpamu tiada berarti"""
negatif,"aku kesal dengan jarak yang sering memisahkan kita hingga aku hanya bisa berbincang denganmu di whatsapp aku kesal dengan waktu yang tak pernah berhenti bergerak barang sejenak"""
negatif,"dengar sa bicara lupa tong dua pu janji kejar sementara kalau berafiliasi butuh gaji harap sa akan baik dibalik jutaan cinta yang naik bila terpisah tra bakalai pasti sa curhat lagi depan mic"""
negatif,"Bilang pada tuhanmu Boleh sa sayang ko nona? Smoga kita kan mampu jalani semua Jodoh trakan kemana Bilang pada tuhanmu Boleh sa sayang ko nona? Smoga kita kan mampu jalani semua"" "
negatif,"Bila memang kau Benar-benar sayang aku Kau tak kan membuat ku mengemis perhatian Sesibuk apapun engkau pasti masih Luangkan waktumu"""
